Date,Total users,New users,Sessions,Average session duration,Bounce rate,Key events
20240905,9882,8024,11602,146.12808855068093,0.6228236510946389,96
20240718,10049,7374,12894,215.32068098526446,0.33883977043586166,1539
20240716,8854,6442,10386,212.04717139091082,0.3585595994608126,2290
20240827,8323,6125,12203,131.5675427656314,0.44349750061460297,127
20241031,7436,5897,8434,109.24658390692434,0.6442968935262035,88
20240708,7939,5872,9198,172.2078862339639,0.39769515111980863,1521
20240722,8258,5655,10157,221.36118020232354,0.35522299891700304,1305
20240717,7987,5487,9229,246.69952320489762,0.34521616643189945,1655
20240707,6485,5321,7975,168.16894458670848,0.3330407523510972,1610
20240828,7077,5225,8922,201.23888619255771,0.4520286931181349,117
20240711,6998,5023,8480,219.67268902323113,0.3733490566037736,1102
20240719,7394,4990,9275,214.5256535007008,0.3539622641509434,1162
20240829,6745,4898,7932,191.8290411439738,0.40506807866868383,148
20241022,6469,4820,7650,169.3776830917647,0.4441830065359477,129
20240712,6691,4797,7882,270.5986062773408,0.3773154021821873,972
20240903,6676,4636,8147,257.3572371064196,0.3973241684055481,141
20240723,6825,4574,8165,236.6845656946724,0.38383343539497855,984
20240910,6465,4548,8207,220.17834085841355,0.4243938101620568,159
20240904,6398,4399,8031,221.25368896451252,0.4060515502428091,147
20240725,6398,4358,7789,211.99511907998462,0.3770702272435486,862
20240730,6296,4339,7478,206.35032580930732,0.39903717571543196,965
20240918,6008,4319,7459,199.64101122898512,0.46453948250435717,109
20240917,6115,4313,7540,216.06166190915118,0.4389920424403183,115
20240710,6008,4309,7233,176.8289366112263,0.4357804507120144,863
20240709,6000,4307,7017,180.4521673688186,0.4228302693458743,890
20241008,6045,4305,7556,206.28911103361568,0.4401799894123875,165
20240924,6072,4291,7367,210.55651192167775,0.4445500203610696,143
20240909,6040,4226,7390,242.5556077699594,0.40338294993234103,151
20240925,5938,4208,7089,201.48449742601213,0.44110593877838905,139
20240715,6062,4205,7177,269.2551502,0.38442246063814967,694
20240919,5850,4194,7313,213.06729774620538,0.4299193217557774,152
20240814,5907,4184,7028,212.22630030634605,0.4669891861126921,119
20240729,6006,4152,7199,214.61415120725098,0.39338797055146546,994
20240820,5864,4128,7320,207.2819361071038,0.4456284153005464,137
20240911,5905,4098,7412,234.49166280464112,0.42323259579060984,191
20240923,5793,4075,6896,210.39763012558004,0.421838747,121
20240724,6178,4018,7377,256.34583289548596,0.3512267859563508,1055
20240807,5830,4005,6944,214.64712696961405,0.3620391705069124,1147
20240916,5700,3972,7004,217.84545815790977,0.43075385494003426,163
20240706,5014,3933,7201,143.59620861019303,0.29398694625746424,1020
20240731,5827,3933,6876,197.57723328592203,0.39499709133216987,829
20240801,5678,3919,6960,200.6502583850575,0.4251436781609195,913
20241014,5543,3906,6384,199.03155564630325,0.43859649122807015,176
20240821,5559,3890,6840,216.61626779312866,0.41710526315789476,136
20240805,5554,3887,6563,210.6920300092945,0.41992991010208747,835
20241023,5386,3874,6432,172.26829857540423,0.4710820895522388,114
20241009,5518,3860,6782,202.7881442832498,0.4407254497198467,118
20241001,5494,3827,6533,201.01725778003978,0.46548293280269404,142
20240813,5643,3818,6612,242.88564080595887,0.3588929219600726,197
20240812,5463,3805,6513,210.83057711853212,0.38707200982650086,305
20240819,5412,3804,6506,242.41829672456197,0.40408853366123576,171
20240912,5419,3722,6929,201.44550771020351,0.46803290518112284,128
20240902,5205,3699,6265,248.33002145043898,0.4349561053471668,101
20240826,5299,3697,6327,212.2674788220326,0.4189979453137348,128
20240703,5289,3668,6212,169.5553397081455,0.44188667095943335,818
20240930,5306,3665,6583,214.99237990080508,0.4703022937870272,131
20240806,5434,3658,6473,215.96505447798552,0.39409856326278386,809
20240920,5219,3658,7354,170.02055173728584,0.4227631221104161,107
20240926,5255,3652,6411,202.74479678474498,0.44579628763063484,149
20240808,5230,3618,6181,231.25613249684517,0.3958906325837243,851
20240906,5199,3616,6629,235.0038007234877,0.42072710816111025,86
20240822,5302,3608,6549,244.88644990334402,0.4396091006260498,175
20241002,5284,3605,6448,188.71365477310795,0.44990694789081886,143
20240815,4978,3577,6046,206.15218056599406,0.46592788620575587,101
20241007,5195,3531,6295,227.53513424400316,0.43050039714058774,121
20240702,5252,3527,6133,165.655194,0.44529593999673894,952
20240823,5019,3520,6537,189.86446131252868,0.43016674315435216,84
20241003,5145,3514,6198,197.0038601,0.4536947402387867,137
20240830,4925,3496,6540,170.49900360657495,0.44831804281345566,74
20241016,5083,3491,6232,200.02511635863283,0.44688703465982027,140
20240701,5095,3457,6129,173.47889291319956,0.44183390438897047,891
20241004,4846,3426,6913,150.88692462910458,0.4280341385794879,90
20240816,4723,3400,6332,169.71938716882502,0.44804169298799745,85
20241024,4922,3373,6054,204.11668105269243,0.4755533531549389,120
20241010,4866,3364,5748,200.7681359460682,0.441892832,117
20241015,5046,3350,6168,190.43463893498702,0.41893644617380027,147
20240726,4935,3344,6474,225.7332645,0.3861600247142416,670
20241029,4905,3302,5951,217.33207796034282,0.4327003864896656,134
20240913,4659,3293,6111,196.46384063950254,0.44526264113892977,98
20241021,4860,3282,5917,186.24748098681764,0.46493155315193513,157
20241030,4807,3278,6023,206.52812175477337,0.44396480159389007,123
20240927,4688,3230,6830,168.46460285007322,0.41815519765739384,130
20241017,4680,3218,5643,198.88761293195108,0.45614035087719296,112
20240802,4697,3208,6153,189.13728714383228,0.36632537,698
20241028,4749,3175,5807,186.7042867280868,0.43172033752367833,109
20241011,4363,3090,6347,155.2221063318103,0.4328028990074051,104
20240704,4364,3058,5174,165.82992022342484,0.4168921530730576,660
20240809,4460,3047,5617,204.94918395246572,0.36745593733309595,721
20240705,4056,2948,6075,152.70602584691358,0.34600823045267487,530
20241018,4152,2833,6115,168.58998428029437,0.4008176614881439,77
20241025,3948,2703,4687,180.96510037166632,0.4516748453168338,106
20240831,3409,2650,6445,116.53017895003879,0.31900698215671064,43
20240922,3300,2514,4417,153.35811806837222,0.44532488114104596,46
20240908,3230,2373,5236,170.79789235141328,0.3535141329258976,70
20240727,3077,2371,6147,147.8731376416138,0.2973808361802505,331
20240901,3083,2313,4702,132.17808684942577,0.3872820076563165,34
20240728,3087,2283,4711,181.2758248320951,0.3434514964975589,426
20240721,3151,2245,3677,183.82560213298882,0.42072341582812073,531
20240921,2993,2241,4884,147.09187555569207,0.3572891072891073,55
20241012,2938,2233,5012,130.0046315971668,0.3808858739026337,56
20240714,2973,2230,3559,195.54299130542287,0.47991008710311883,327
20240810,2969,2213,5980,110.56444650518394,0.2802675585284281,266
20240804,2926,2207,4324,178.56443613390377,0.37419056429232195,355
20240907,2924,2188,5544,109.45447313726551,0.3342352092352092,27
20240713,2859,2182,3280,190.1297702,0.5387195121951219,246
20240929,2996,2158,3949,240.95112703747785,0.4634084578374272,63
20240803,2851,2112,5801,112.4078650680917,0.26926392001379074,299
20240720,2752,2086,3292,148.16291213760633,0.5182260024301336,418
20240914,2757,2070,4974,121.0682102969441,0.38681141938078006,57
20241013,2806,2050,3699,202.7990323195458,0.4560692078940254,65
20240817,2717,2046,5152,118.8756537494177,0.30007763975155277,37
20240825,2735,2015,4260,135.64475327042254,0.3629107981220657,43
20240818,2738,1997,3945,148.01025076299112,0.4053231939163498,34
20240928,2716,1952,4740,126.67195615675104,0.36835443037974686,35
20240915,2636,1894,3577,158.3710861137825,0.4623986580933743,52
20240811,2623,1868,4098,143.32006333723768,0.3389458272327965,353
20240824,2416,1799,3728,144.8600363669528,0.37526824034334766,26
20241005,2471,1755,4062,171.41736571467257,0.38724766125061544,28
20241019,2423,1730,4387,126.22051389286528,0.3259630727148393,35
20241006,2442,1704,3329,152.85089929468307,0.40132171823370383,38
20241020,2336,1671,3173,202.60052639804601,0.43523479357075323,57
20241027,2297,1626,2875,134.9318225492174,0.5540869565217391,34
20241026,1901,1392,2494,93.10648176,0.6672012830793905,24
